"Desc","Link","Make","Model","Year","Engine.Cap","Transm","Mileage","Color","Car.Type","Updated","Price"
"2015 Perodua Myvi 1.5 S.E WITH CRAZY DISKAUN UP TO RM5500 AND ATTRACTIVE FREE GIFT FAST B00K NOW","/new-cars/2521373/2015-perodua-myvi-1-5-s-e-with-crazy-diskaun-up-to-rm5500-and-attractive-free-gift-fast-b00k-now.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-12,47468
"2015 Perodua Myvi 1.5 ADVANCE WITH CRAZY DISKAUN UP TO RM2300 AND ATTRACTIVE FREE GIFT FAST B00K NOW BEFORE CALL PLEASE READ THE AD DESCRIPTION FIRST","/new-cars/2519379/2015-perodua-myvi-1-5-advance-with-crazy-diskaun-up-to-rm2300-and-attractive-free-gift-fast-b00k-now-before-call-please-read-the-ad-description-first.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-12,55668
"2015 Perodua Alza 1.5 (A) SE WITH DISKAUN UP TO RM3200 OR ATTRACTIVE FREE GIFT","/new-cars/2519365/2015-perodua-alza-1-5-a-se-with-diskaun-up-to-rm3200-or-attractive-free-gift.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-12,56132
"2015 Perodua Myvi 1.5 S.E WITH CRAZY DISKAUN UP TO RM5500 AND ATTRACTIVE FREE GIFT FAST B00K NOW ","/new-cars/2121602/2015-perodua-myvi-1-5-s-e-with-crazy-diskaun-up-to-rm5500-and-attractive-free-gift-fast-b00k-now-.html","Perodua","Myvi","2015","1495cc","Automatic",NA,"Others","NewCar",2015-12-12,47468
"2015 Perodua Alza 1.5 Advance Wagon","/new-cars/2611991/2015-perodua-alza-1-5-advance-wagon.html","Perodua","Alza","2015","1495cc","Automatic",NA,"Red","NewCar",2015-12-12,65000
"2015 Perodua Myvi M600 1.3 G Hatchback","/new-cars/2586609/2015-perodua-myvi-m600-1-3-g-hatchback.html","Perodua","Myvi","2015","1298cc","Automatic",NA,"White","NewCar",2015-12-12,43862
"2015 Perodua Axia 998 SE Hatchback","/new-cars/2586599/2015-perodua-axia-998-se-hatchback.html","Perodua","Axia","2015","998cc","Automatic",NA,"Others","NewCar",2015-12-12,39637
"2015 Perodua Myvi M600 1.3 G Hatchback","/new-cars/2586606/2015-perodua-myvi-m600-1-3-g-hatchback.html","Perodua","Myvi","2015","1298cc","Manual",NA,"Others","NewCar",2015-12-12,40862
"2015 Perodua Axia 998 SE Hatchback","/new-cars/2586596/2015-perodua-axia-998-se-hatchback.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-12,36637
"2015 Perodua Axia 998 E Hatchback","/new-cars/2586589/2015-perodua-axia-998-e-hatchback.html","Perodua","Axia","2015","998cc","Manual",NA,"Others","NewCar",2015-12-12,24437
